timer,hart
0,-408
1,578
2,-35
3,-426
4,187
5,-176
6,-444
7,-487
8,-1034
9,-957
10,-430
11,-1605
12,-2849
13,-2904
14,-4339
15,-5110
16,-3758
17,-3900
18,-4081
19,-3129
20,-3771
21,-3756
22,-3215
23,-3475
24,-3188
25,-3479
26,-3870
27,-3891
28,-4180
29,-3989
30,-4208
31,-4097
32,-1876
33,-1900
34,-3014
35,-1783
36,-3466
37,-4989
38,-3899
39,-3950
40,-3819
41,-3437
42,-3225
43,-3613
44,-3167
45,-2567
46,-3465
47,-2922
48,-3176
49,-4101
50,-4227
51,-3837
52,-3484
53,-4767
54,-3696
55,-3953
56,-4383
57,-2243
58,-3315
59,-3070
60,-2267
61,-3720
62,-3712
63,-3272
64,-3340
65,-3493
66,-3055
67,-2790
68,-3226
69,-2802
70,-3047
71,-2976
72,-1854
73,-3177
74,-3022
75,-2329
76,-3100
77,-3258
78,-4738
79,-4677
80,-6082
81,-6903
82,-5252
83,-6461
84,-5107
85,-3310
86,-3028
87,-1626
88,-1271
89,-874
90,-2142
91,-2071
92,-2000
93,-3295
94,-515
95,-814
96,-2325
97,-1502
98,-3092
99,-3548
100,-3338
101,-2263
102,-2091
103,-3094
104,-2157
105,-3010
106,-3364
107,-2920
108,-3070
109,-2024
110,-3049
111,-3310
112,-2216
113,-3485
114,-3068
115,-2749
116,-3714
117,-3303
118,-3085
119,-2591
120,-2562
121,-2407
122,-2167
123,-2970
124,-2915
125,-3203
126,-3499
127,-3721
128,-3655
129,-3602
130,-4060
131,-2457
132,-2226
133,-2830
134,-2029
135,-3018
136,-3807
137,-3459
138,-3539
139,-3999
140,-3934
141,-3173
142,-3362
143,-2619
144,-1420
145,-2458
146,-3181
147,-3119
148,-4205
149,-4718
150,-3286
151,-2557
152,-2626
153,-1732
154,-2774
155,-2364
156,-545
157,-1700
158,-1107
159,-926
160,-2385
161,-1851
162,-1693
163,-1705
164,-1737
165,-2005
166,-1868
167,-2117
168,-1646
169,-1127
170,-1485
171,-956
172,-1007
173,-2023
174,-1761
175,-1598
176,-1959
177,-2217
178,-2412
179,-2115
180,-1219
181,-832
182,-1017
183,-842
184,-1040
185,-1878
186,-2494
187,-1682
188,-1754
189,-2357
190,-1307
191,-1998
192,-1612
193,-103
194,-770
195,-899
196,-1065
197,-2277
198,-2924
199,-1945
200,-1803
201,-2339
202,-1533
203,-2382
204,-2383
205,-1210
206,-2159
207,-1666
208,-1308
209,-2814
210,-2867
211,-1955
212,-1711
213,-2412
214,-2137
215,-2026
216,-3112
217,-1925
218,-1370
219,-2210
220,-1796
221,-2158
222,-2759
223,-3062
224,-2552
225,-2310
226,-2971
227,-2594
228,-3058
229,-3201
230,-2131
231,-1440
232,-1205
233,-2077
234,-2271
235,-2785
236,-3992
237,-3208
238,-3250
239,-2994
240,-2596
241,-2760
242,-993
243,-1625
244,-1834
245,-1247
246,-2640
247,-3109
248,-3591
249,-2707
250,-3018
251,-2846
252,-1557
253,-3173
254,-2469
255,-1806
256,-3209
257,-3180
258,-2718
259,-3213
260,-4281
261,-3024
262,-2815
263,-6838
264,-7899
265,-6793
266,-6768
267,-4098
268,-1488
269,-372
270,-880
271,-2329
272,-1915
273,-2431
274,-2462
275,-1803
276,-2449
277,-2876
278,-3157
279,-1802
280,-1605
281,-1289
282,-1025
283,-6779
284,-10447
285,-11991
286,-14418
287,-10810
288,-5609
289,-1831
290,-180
291,-378
292,-1369
293,-4729
294,-4667
295,-3513
296,-3715
297,-1353
298,-531
299,-29
300,1143
301,1170
302,204
303,-372
304,731
305,-113
306,-163
307,58
308,-2148
309,-2101
310,-1592
311,-1457
312,-947
313,-910
314,-965
315,-1619
316,-1139
317,-1743
318,-2040
319,-1080
320,-2588
321,-2344
322,-1537
323,-2269
324,-2034
325,-2299
326,-2369
327,-3187
328,-2605
329,-1450
330,-2583
331,-1805
332,-1995
333,-2913
334,-2628
335,-3188
336,-2709
337,-2808
338,-2821
339,-2970
340,-3797
341,-2203
342,-2243
343,-3130
344,-1903
345,-2923
346,-3730
347,-3238
348,-3577
349,-3230
350,-3481
351,-2808
352,-2456
353,-2455
354,-1073
355,-2420
356,-2639
357,-2294
358,-4299
359,-3521
360,-2589
361,-2534
362,-2229
363,-2793
364,-2949
365,-2917
366,-2333
367,-2556
368,-2288
369,-1718
370,-2734
371,-1992
372,-1696
373,-1623
374,-1320
375,-1994
376,-2008
377,-2524
378,-1660
379,-1747
380,-1669
381,-92
382,-1945
383,-1861
384,-1338
385,-2228
386,-1641
387,-2441
388,-1855
389,-2234
390,-2159
391,55
392,-948
393,-763
394,-767
395,-2073
396,-2214
397,-2369
398,-1670
399,-2354
400,-2504
401,-2025
402,-1994
403,-251
404,-197
405,-394
406,-138
407,-2446
408,-2997
409,-2514
410,-2539
411,-1739
412,-1931
413,-1778
414,-1835
415,-2094
416,-1591
417,-2229
418,-2184
419,-2290
420,-3267
421,-2045
422,-1331
423,-2110
424,-1607
425,-2042
426,-3145
427,-2332
428,-2134
429,-2296
430,-1434
431,-1338
432,-1818
433,-1943
434,-2003
435,-2376
436,-2930
437,-2601
438,-2779
439,-2864
440,-1537
441,-1696
442,-2031
443,-1922
444,-2647
445,-2458
446,-2512
447,-2291
448,-2359
449,-3146
450,-2968
451,-3331
452,-1353
453,-170
454,-1481
455,-267
456,-2102
457,-4729
458,-3694
459,-3258
460,-3493
461,-2693
462,-1971
463,-3324
464,-2635
465,-1669
466,-3254
467,-2629
468,-2627
469,-4367
470,-4236
471,-3229
472,-3694
473,-4083
474,-2906
475,-3870
476,-3951
477,-2026
478,-3061
479,-2904
480,-3021
481,-4278
482,-3005
483,-4203
484,-3964
485,-2642
486,-4301
487,-3753
488,-4236
489,-3662
490,-2252
491,-2933
492,-1540
493,-2361
494,-3844
495,-3497
496,-3795
497,-3411
498,-2695
499,-2782
500,-3648
501,-2640
502,-2364
503,-3528
504,-2074
505,-1972
506,-3309
507,-3508
508,-3650
509,-3501
510,-4776
511,-4341
512,-4674
513,-6520
514,-4418
515,-5543
516,-6080
517,-2623
518,-3298
519,-3004
520,-895
521,-1054
522,-1752
523,-2250
524,-2630
525,-2839
526,-1831
527,-2485
528,-2343
529,-988
530,-3444
531,-2665
532,-1337
533,-3347
534,-2487
535,-2574
536,-2985
537,-3326
538,-2703
539,-689
540,-2256
541,-1403
542,-556
543,-3092
544,-2411
545,-2284
546,-2838
547,-2650
548,-3191
549,-2754
550,-3425
551,-2335
552,-1307
553,-2218
554,-508
555,-2300
556,-3837
557,-2681
558,-4151
559,-3344
560,-3033
561,-3057
562,-2318
563,-2491
564,-1430
565,-2353
566,-2457
567,-2183
568,-3795
569,-3516
570,-3289
571,-3071
572,-2645
573,-2835
574,-2887
575,-3236
576,-2864
577,-3359
578,-3353
579,-2526
580,-3970
581,-2884
582,-2181
583,-3471
584,-2274
585,-2711
586,-3199
587,-2291
588,-1986
589,-1603
590,-1843
591,-1108
592,-1191
593,-2562
594,-1753
595,-1650
596,-2475
597,-1928
598,-1822
599,-1904
600,-1080
601,-399
602,-1054
603,-1066
604,-1075
605,-1878
606,-1823
607,-1964
608,-2188
609,-2715
610,-2255
611,-1380
612,-762
613,555
614,-176
615,-682
616,-1165
617,-2456
618,-2111
619,-1869
620,-1219
621,-1510
622,-1574
623,-1225
624,-2289
625,7
626,846
627,-506
628,431
629,-943
630,-2624
631,-1727
632,-916
633,-745
634,-191
635,-738
636,-1852
637,-1635
638,-1876
639,-1650
640,-1112
641,-503
642,-443
643,-1550
644,-893
645,-1083
646,-2431
647,-2129
648,-2631
649,-1998
650,-608
651,-1310
652,-677
653,-983
654,-2632
655,-2074
656,-2410
657,-2468
658,-2196
659,-2582
660,-2017
661,-2077
662,-744
663,-434
664,-1537
665,-1060
666,-2430
667,-3749
668,-3090
669,-2357
670,-2289
671,-2108
672,-1800
673,-2469
674,-1963
675,-1670
676,-2420
677,-2209
678,-2551
679,-3240
680,-3289
681,-2684
682,-1707
683,-2100
684,-2205
685,-2017
686,-2884
687,-2546
688,-2570
689,-2448
690,-1819
691,-2308
692,-1870
693,-2077
694,-2283
695,-2215
696,-2953
697,-2779
698,-2767
699,-2444
700,-2621
701,-2551
702,-1714
703,-2597
704,-2129
705,-1686
706,-2514
707,-2472
708,-3228
709,-3078
710,-3001
711,-2307
712,-664
713,-1766
714,-1721
715,-1458
716,-3263
717,-3199
718,-2517
719,-2981
720,-3163
721,-2018
722,-2377
723,-2894
724,-1342
725,-2586
726,-4198
727,-4370
728,-6383
729,-7453
730,-7220
731,-5669
732,-3869
733,-3135
734,-1051
735,-686
736,-147
737,770
738,-669
739,-489
740,-1341
741,-1793
742,-1282
743,-2233
744,-1040
745,-1635
746,-2378
747,-1503
748,-2195
749,-1762
750,-1473
751,-1456
752,-1643
753,-2374
754,-1999
755,-2053
756,-2094
757,-2464
758,-2844
759,-2911
760,-2754
761,-1130
762,-1375
763,-1803
764,-578
765,-2131
766,-3283
767,-2757
768,-3062
769,-2852
770,-3174
771,-2503
772,-2313
773,-2192
774,-308
775,-1464
776,-2022
777,-2121
778,-3964
779,-3480
780,-3587
781,-3361
782,-2325
783,-2884
784,-2850
785,-2366
786,-2497
787,-3433
788,-3231
789,-2837
790,-3815
791,-2999
792,-2491
793,-2879
794,-3013
795,-3389
796,-3107
797,-3055
798,-2671
799,-2521
800,-2708
801,-2092
802,-2369
803,-2281
804,-1799
805,-2260
806,-2307
807,-2651
808,-1946
809,-1876
810,-1884
811,-212
812,-724
813,-699
814,-869
815,-1694
816,-1558
817,-2203
818,-1481
819,-1779
820,-1881
821,-1272
822,-1156
823,297
824,-328
825,-968
826,-517
827,-2272
828,-2661
829,-1610
830,-2041
831,-1143
832,-875
833,-2660
834,-2112
835,-1094
836,-1701
837,-1428
838,-897
839,-2008
840,-2749
841,-1975
842,-1287
843,-1844
844,-1863
845,-1260
846,-2609
847,-2506
848,-1464
849,-2035
850,-1745
851,-1209
852,-1761
853,-2468
854,-1943
855,-1775
856,-2468
857,-1436
858,-1710
859,-2337
860,-979
861,-1684
862,-1715
863,-647
864,-1413
865,-1833
866,-2053
867,-2105
868,-2143
869,-2027
870,-1549
871,-1468
872,-373
873,-795
874,-1681
875,-683
876,-1956
877,-3056
878,-2356
879,-1944
880,-2145
881,-2251
882,-860
883,-2000
884,-2549
885,-651
886,-1530
887,-1738
888,-1599
889,-2697
890,-2907
891,-2323
892,-1312
893,-2073
894,-1428
895,-1166
896,-2651
897,-1611
898,-2115
899,-2106
900,-1734
901,-2216
902,-1249
903,-2771
904,-2218
905,-1578
906,-2764
907,-2156
908,-3172
909,-1463
910,-991
911,-2013
912,-147
913,-2373
914,-3336
915,-2492
916,-3691
917,-2741
918,-2674
919,-3236
920,-2633
921,-2701
922,-2239
923,-1729
924,-1910
925,-1699
926,-2311
927,-3068
928,-2536
929,-2032
930,-2595
931,-1891
932,-1834
933,-2884
934,-1397
935,-1874
936,-2599
937,-1588
938,-2638
939,-2074
940,-2272
941,-2459
942,-2172
943,-4420
944,-3773
945,-5743
946,-5782
947,-3074
948,-5363
949,-2558
950,-994
951,-2123
952,-280
953,-285
954,-159
955,-1057
956,-1584
957,-2138
958,-2481
959,-1358
960,-2301
961,-1361
962,-714
963,-3007
964,-2499
965,-2067
966,-3009
967,-3004
968,-2318
969,-2341
970,-2960
971,-1510
972,-1790
973,-2478
974,-1576
975,-2733
976,-3018
977,-3160
978,-3425
979,-2836
980,-3454
981,-2915
982,-2302
983,-2044
984,-999
985,-1860
986,-2011
987,-1860
988,-3563
989,-3429
990,-3140
991,-2943
992,-2263
993,-3099
994,-3073
995,-2670
996,-3029
997,-3339
998,-2777
999,-2437
1000,-3630
1001,-2650
1002,-1858
1003,-2761
1004,-2843
1005,-2816
1006,-3325
1007,-3796
1008,-2595
1009,-2594
1010,-2691
1011,-1689
1012,-3055
1013,-3435
1014,-2521
1015,-2738
1016,-3153
1017,-2608
1018,-2421
1019,-2895
1020,-1147
1021,-159
1022,-705
1023,-15
1024,-754
1025,-2058
1026,-1843
1027,-1929
1028,-1413
1029,-964
1030,-1329
1031,-1090
1032,-426
1033,369
1034,414
1035,-95
1036,-68
1037,-1575
1038,-2820
1039,-1746
1040,-1865
1041,-1599
1042,-401
1043,-1234
1044,-1433
1045,-793
1046,-940
1047,-1281
1048,-1475
1049,-1335
1050,-2215
1051,-2126
1052,-812
1053,-1764
1054,-2131
1055,-1663
1056,-2473
1057,-2076
1058,-1081
1059,-1537
1060,-2048
1061,-1361
1062,-1500
1063,-2100
1064,-1400
1065,-1082
1066,-2209
1067,-3018
1068,-2977
1069,-2517
1070,-2016
1071,-1194
1072,-717
1073,-1148
1074,-1968
1075,-2673
