x,hart
0,1835
1,1967
2,1956
3,1952
4,1952
5,1919
6,1886
7,1886
8,1883
9,1883
10,1876
11,1859
12,1859
13,1838
14,1844
15,1844
16,1838
17,1823
18,1823
19,1823
20,1850
21,1850
22,1817
23,1824
24,1824
25,1846
26,1835
27,1835
28,1838
29,1838
30,1853
31,1853
32,1853
33,1853
34,1862
35,1862
36,1858
37,1872
38,1872
39,1876
40,1874
41,1874
42,1883
43,1896
44,1896
45,1911
46,1911
47,1910
48,1913
49,1913
50,1906
51,1935
52,1935
53,1933
54,1934
55,1934
56,1936
57,1944
58,1944
59,1943
60,1948
61,1948
62,1939
63,1957
64,1957
65,1963
66,1954
67,1954
68,1954
69,1954
70,1971
71,1971
72,1971
73,1967
74,1960
75,1960
76,1970
77,1976
78,1976
79,1971
80,1962
81,1962
82,1978
83,1960
84,1960
85,1957
86,1957
87,1972
88,1966
89,1966
90,1966
91,1960
92,1960
93,1955
94,1968
95,1968
96,1970
97,1956
98,1956
99,1971
100,1972
101,1972
102,1959
103,1972
104,1972
105,1991
106,1978
107,1978
108,1967
109,1967
110,1966
111,1979
112,1979
113,1973
114,1968
115,1968
116,1979
117,1977
118,1977
119,1960
120,1970
121,1970
122,1975
123,1964
124,1964
125,1968
126,1968
127,1969
128,1960
129,1960
130,1971
131,1970
132,1970
133,1974
134,1975
135,1975
136,1967
137,1960
138,1960
139,1976
140,1974
141,1974
142,1983
143,1978
144,1978
145,1974
146,1974
147,1985
148,1982
149,1982
150,1974
151,1984
152,1984
153,1983
154,1984
155,1984
156,1992
157,1987
158,1987
159,1987
160,1987
161,1987
162,1992
163,1992
164,1987
165,1996
166,1996
167,1996
168,1992
169,1992
170,1994
171,1992
172,1992
173,2004
174,2001
175,2001
176,2004
177,1998
178,1998
179,1991
180,2005
181,2005
182,2022
183,2022
184,2005
185,2007
186,2007
187,2011
188,2012
189,2012
190,2008
191,2016
192,2016
193,2021
194,2024
195,2024
196,2005
197,2011
198,2011
199,2019
200,2019
201,2014
202,2015
203,2015
204,2014
205,1999
206,1999
207,2011
208,2013
209,2013
210,1999
211,2024
212,2024
213,2008
214,1996
215,1996
216,2027
217,2011
218,2011
219,2010
220,2010
221,2036
222,2023
223,2023
224,2028
225,2045
226,2045
227,2050
228,2051
229,2051
230,2059
231,2054
232,2054
233,2067
234,2056
235,2056
236,2047
237,2066
238,2066
239,2049
240,2049
241,2035
242,2041
243,2041
244,2013
245,2020
246,2020
247,2014
248,1998
249,1998
250,1990
251,1992
252,1992
253,1987
254,1980
255,1980
256,1979
257,1985
258,1985
259,1980
260,1980
261,1981
262,1992
263,1992
264,1974
265,1987
266,1987
267,1977
268,1981
269,1981
270,1983
271,1987
272,1987
273,2013
274,2040
275,2040
276,2083
277,2130
278,2130
279,2183
280,2183
281,2250
282,2325
283,2325
284,2423
285,2527
286,2527
287,2559
288,2559
289,2559
290,2523
291,2368
292,2368
293,2232
294,2096
295,2096
296,2004
297,2004
298,1901
299,1858
300,1858
301,1834
302,1838
303,1838
304,1831
305,1853
306,1853
307,1847
308,1845
309,1845
310,1851
311,1860
312,1860
313,1870
314,1872
315,1872
316,1891
317,1893
318,1893
319,1894
320,1894
321,1901
322,1919
323,1919
324,1917
325,1930
326,1930
327,1947
328,1925
329,1925
330,1943
331,1952
332,1952
333,1947
334,1954
335,1954
336,1951
337,1951
338,1960
339,1962
340,1962
341,1966
342,1978
343,1978
344,1979
345,1973
346,1973
347,1984
348,1978
349,1978
350,1984
351,1991
352,1991
353,1983
354,1983
355,1983
356,1999
357,1992
358,1992
359,1998
360,1998
361,1998
362,2006
363,2006
364,1999
365,2016
366,2016
367,2005
368,2038
369,2038
370,2006
371,2017
372,2017
373,2042
374,2027
375,2027
376,2031
377,2031
378,2051
379,2044
380,2044
381,2043
382,2070
383,2070
384,2062
385,2055
386,2055
387,2065
388,2056
389,2056
390,2070
391,2080
392,2080
393,2068
394,2078
395,2078
396,2077
397,2077
398,2074
399,2087
400,2087
401,2093
402,2102
403,2102
404,2091
405,2102
406,2102
407,2118
408,2114
409,2114
