hart,timer
530,1
518,2
506,3
494,4
483,5
472,6
462,7
454,8
446,9
440,10
434,11
430,12
428,13
430,14
430,15
432,16
436,17
439,18
444,19
450,20
454,21
459,22
465,23
470,24
475,25
481,26
487,27
490,28
494,29
497,30
500,31
502,32
504,33
505,34
507,35
506,36
504,37
504,38
503,39
502,40
500,41
499,42
498,43
496,44
495,45
493,46
491,47
488,48
488,49
487,50
490,51
491,52
500,53
515,54
538,55
567,56
603,57
640,58
677,59
714,60
745,61
772,62
788,63
795,64
795,65
783,66
765,67
740,68
712,69
677,70
641,71
605,72
568,73
535,74
503,75
474,76
450,77
430,78
414,79
401,80
393,81
388,82
385,83
385,84
388,85
393,86
401,87
412,88
426,89
440,90
455,91
473,92
491,93
509,94
523,95
537,96
549,97
558,98
564,99
565,100
565,101
561,102
556,103
548,104
540,105
531,106
519,107
508,108
497,109
486,110
475,111
465,112
457,113
450,114
444,115
438,116
435,117
432,118
431,119
431,120
432,121
434,122
438,123
441,124
445,125
450,126
454,127
460,128
466,129
471,130
477,131
483,132
487,133
491,134
493,135
496,136
500,137
501,138
502,139
504,140
505,141
504,142
503,143
502,144
501,145
499,146
498,147
496,148
495,149
492,150
492,151
490,152
490,153
490,154
497,155
510,156
530,157
559,158
593,159
630,160
667,161
703,162
735,163
759,164
774,165
782,166
781,167
771,168
753,169
728,170
700,171
668,172
632,173
597,174
562,175
528,176
497,177
470,178
446,179
426,180
411,181
399,182
389,183
385,184
382,185
383,186
386,187
391,188
398,189
407,190
420,191
433,192
450,193
469,194
487,195
504,196
521,197
537,198
550,199
560,200
569,201
573,202
571,203
569,204
563,205
556,206
544,207
533,208
521,209
509,210
496,211
485,212
475,213
466,214
456,215
449,216
442,217
436,218
433,219
430,220
428,221
429,222
428,223
431,224
436,225
441,226
447,227
452,228
457,229
462,230
466,231
471,232
478,233
483,234
487,235
491,236
494,237
497,238
499,239
501,240
503,241
504,242
505,243
504,244
504,245
503,246
501,247
500,248
498,249
497,250
496,251
498,252
502,253
512,254
530,255
554,256
585,257
618,258
651,259
684,260
715,261
739,262
756,263
767,264
768,265
762,266
749,267
728,268
704,269
673,270
641,271
608,272
574,273
540,274
509,275
480,276
455,277
433,278
416,279
403,280
391,281
385,282
379,283
378,284
378,285
382,286
390,287
399,288
413,289
428,290
446,291
464,292
482,293
501,294
521,295
537,296
550,297
562,298
569,299
574,300
574,301
572,302
567,303
559,304
548,305
537,306
523,307
510,308
496,309
485,310
474,311
463,312
452,313
445,314
438,315
433,316
431,317
428,318
429,319
428,320
