timer,hart,actual data,actual data diff,,
0,515,-3525,-352.5,0,
0.854790319,514,-2955,-295.5,134.1,max actual data diff
1.709580639,514,-3047,-304.7,-814.3,min actual diff
2.564370958,512,-3697,-369.7,1341,max actual dat
3.419161277,512,-3533,-353.3,-8143,min actual data
4.273951597,513,-3127,-312.7,789,max data2
5.128741916,513,-2470,-247,0,min data2
5.983532235,514,-2740,-274,,
6.838322555,512,-2460,-246,,
7.693112874,512,-2566,-256.6,,
8.547903194,513,-3818,-381.8,,
9.402693513,513,-3162,-316.2,,
10.25748383,513,-2790,-279,,
11.11227415,514,-2614,-261.4,,
11.96706447,514,-2796,-279.6,,
12.82185479,515,-3156,-315.6,,
13.67664511,515,-3037,-303.7,,
14.53143543,516,-3778,-377.8,,
15.38622575,516,-2383,-238.3,,
16.24101607,516,-1756,-175.6,,
17.09580639,515,-2777,-277.7,,
17.95059671,515,-2075,-207.5,,
18.80538703,516,-2790,-279,,
19.66017735,516,-4361,-436.1,,
20.51496766,514,-4208,-420.8,,
21.36975798,515,-3873,-387.3,,
22.2245483,514,-4588,-458.8,,
23.07933862,512,-4499,-449.9,,
23.93412894,512,-4127,-412.7,,
24.78891926,513,-4702,-470.2,,
25.64370958,514,-4009,-400.9,,
26.4984999,514,-3214,-321.4,,
27.35329022,514,-3313,-331.3,,
28.20808054,516,-3621,-362.1,,
29.06287086,515,-3906,-390.6,,
29.91766118,515,-4148,-414.8,,
30.7724515,515,-4818,-481.8,,
31.62724182,515,-4490,-449,,
32.48203214,516,-4156,-415.6,,
33.33682245,515,-4795,-479.5,,
34.19161277,515,-4894,-489.4,,
35.04640309,515,-5154,-515.4,,
35.90119341,515,-4529,-452.9,,
36.75598373,514,-3365,-336.5,,
37.61077405,514,-3508,-350.8,,
38.46556437,514,-3298,-329.8,,
39.32035469,514,-3780,-378,,
40.17514501,514,-5220,-522,,
41.02993533,514,-5496,-549.6,,
41.88472565,514,-5113,-511.3,,
42.73951597,513,-4392,-439.2,,
43.59430629,514,-4105,-410.5,,
44.44909661,513,-3902,-390.2,,
45.30388693,514,-4320,-432,,
46.15867725,514,-4654,-465.4,,
47.01346756,514,-3820,-382,,
47.86825788,515,-3877,-387.7,,
48.7230482,515,-3606,-360.6,,
49.57783852,514,-3301,-330.1,,
50.43262884,514,-3985,-398.5,,
51.28741916,516,-4537,-453.7,,
52.14220948,516,-4394,-439.4,,
52.9969998,514,-3866,-386.6,,
